#a,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de crècido,l,Obligaciones reconegudes
2025,041  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,18845.88,0,,23292.14
2025,041  ,3200 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,3    ,1     ,87969.78,0,,68050.13
2025,032  ,170  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,198970.42,0,,116631.54
2025,031  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,18845.88,0,,14726.56
2025,031  ,1500 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,185741.04,0,,142709.17
2025,021  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,18845.88,0,,14731.44
2025,042  ,333  ,227999 ,CONTR PREST SERVEIS L'ARTESÀ                      ,042,33   ,22    ,786192,46630.93,,559004.49
2025,041  ,326  ,227999 ,PROJECTE D'IMPULS DE L'ANGLÈS                     ,041,32   ,22    ,308301,0,,172396
2025,064  ,334  ,22799  ,PLA JOVE                                          ,064,33   ,22    ,350000,30000,,218228.08
2025,061  ,3401 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,3    ,1     ,78700.72,-11963.7,,43165.1
2025,021  ,1513 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,203601.48,0,,126289.4
2025,021  ,1500 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,34534.74,0,,23518.32
2025,014  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,18845.88,0,,14726.56
2025,014  ,1512 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,211914.34,0,,144553.25
2025,012  ,934  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,62173.42,0,,34283.74
2025,012  ,9208 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,71142.36,0,,44595.37
