#a,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de crècido,l,Obligaciones reconegudes
2025,061  ,3424 ,22100  ,ELECTRICITAT CEM JULIO MÉNDEZ                     ,,3    ,221   ,16604,2724.56,,11605.48
2025,014  ,150  ,639    ,INV DE MILLORA EN INSTAL LACIONS                  ,014,150  ,639   ,320000,322542.62,,42263.69
2025,014  ,4411 ,464    ,TRANSF TRANSPORT URBÀ                             ,014,4411 ,464   ,410435,0,,0
2025,021  ,150  ,22699  ,DESP DIVERSES                                     ,021,15   ,22    ,600,0,,511.45
2025,021  ,150  ,22706  ,ESTUDIS I TREBALLS TÈCNICS                        ,021,15   ,22    ,9000,0,,0
2025,021  ,150  ,46601  ,QUOTA MEMBRE ASSOC MUNICIPIS I ENTITATS PER L'AIGU,021,150  ,46601 ,2240,66.85,,0
2025,021  ,150  ,49001  ,QUOTA MEMBRE AIRPORT REGIONS COUNCIL (ARC)        ,021,150  ,49001 ,9000,23334,,32334
2025,021  ,1500 ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,35120.88,0,,17560.44
2025,021  ,1500 ,12006  ,TRIENNIS                                          ,,1    ,1     ,9133.68,0,,4400.49
2025,021  ,1500 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,22082.9,0,,9764.02
2025,021  ,1500 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,70390.46,0,,32396.28
2025,021  ,1500 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,34534.74,0,,13062.75
2025,021  ,151  ,464    ,APORTACIÓ CONVENI DISCIPLINA URBANÍSTICA AMB      ,021,151  ,464   ,16686,16685.19,,16685.19
2025,021  ,1513 ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,82177.98,0,,35120.88
2025,021  ,1513 ,12001  ,SOUS DEL GRUP A2                                  ,,1    ,1     ,46325.28,0,,17695.28
2025,021  ,1513 ,12003  ,SOUS DEL GRUP C1                                  ,,1    ,1     ,65046.5,-11826.64,,27857.16
2025,021  ,1513 ,12004  ,SOUS DEL GRUP C2                                  ,,1    ,1     ,40098.56,0,,15474.04
2025,021  ,1513 ,12006  ,TRIENNIS                                          ,,1    ,1     ,34326.55,0,,16234.71
2025,021  ,1513 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,99337.6,0,,45320.59
2025,021  ,1513 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,244849.04,0,,110595.98
2025,021  ,1513 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,45864.14,0,,22929.54
2025,014  ,933  ,632    ,INV MILLORA EQUIPAMENTS I SERVEIS                 ,014,933  ,632   ,2050187.5,837694.05,,188312.94
2025,042  ,333  ,227997 ,CONTR PREST SERVEIS CÈNTRIC                       ,042,33   ,22    ,353369,0,,147237.05
2025,041  ,326  ,48911  ,TRANSF CORRENTS ESCOLA PEPA COLOMER               ,041,326  ,48911 ,4284,0,,0
2025,042  ,333  ,22102  ,CONSUM GAS EDIFICIS CULTURA                       ,,3    ,221   ,77648,9481.34,,48705.28
2025,012  ,9205 ,12006  ,TRIENNIS                                          ,,9    ,1     ,18505.96,0,,10217.5
2025,021  ,1514 ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,26340.64,0,,8780.22
2025,021  ,1514 ,12001  ,SOUS DEL GRUP A2                                  ,,1    ,1     ,46325.28,0,,23162.64
2025,021  ,1514 ,12003  ,SOUS DEL GRUP C1                                  ,,1    ,1     ,23653.28,0,,5913.32
2025,021  ,1514 ,12006  ,TRIENNIS                                          ,,1    ,1     ,27182.24,0,,13394.97
2025,021  ,1514 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,1    ,1     ,52962.7,0,,21415.52
2025,021  ,1514 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,1    ,1     ,149036.3,0,,62129.48
2025,021  ,1514 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,1    ,1     ,34358.86,0,,17179.43
2025,021  ,1514 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,1    ,1     ,104979.88,0,,35511.21
2025,021  ,1521 ,467    ,APORT. CONSORCI PRAT NORD                         ,021,1521 ,467   ,25000,0,,0
2025,021  ,1521 ,48903  ,TRANSF CORRENTS AJUTS AL LLOGUER                  ,021,1521 ,48903 ,65000,0,,0
2025,021  ,231  ,48905  ,SUBVENCIONS I AJUTS HABITATGE                     ,021,231  ,48905 ,58000,0,,0
2025,021  ,912  ,10000  ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,66588.76,0,,26438.88
2025,021  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,18845.88,0,,8185.08
2025,031  ,1321 ,12000  ,SOUS DEL GRUP A1                                  ,,1    ,1     ,52681.32,0,,26340.66
2025,031  ,1321 ,12003  ,SOUS DEL GRUP C1                                  ,,1    ,1     ,23653.28,0,,11532.29
2025,051  ,326  ,227993 ,SERV COMPL EDUCACIO A DESENVOLUPAMENT ECONOMIC    ,051,32   ,22    ,3600,0,,0
